id_a,id_b,cosine_distance
0,868,0.07831638990880105
0,174,0.0760790750663998
0,7,0.06073995642175947
0,296,0.05211509583211342
0,360,0.03742400857405851
0,875,0.03554210088444523
0,242,0.03503138034854388
0,138,0.032561100077140456
0,930,0.02807671206926799
0,540,0.027285920810613675
1,540,0.038209718332380044
1,875,0.03139586847444954
1,242,0.03094472702885828
1,784,0.02863623809440623
1,1009,0.02731211471949849
1,1010,0.02731211471949849
1,162,0.022518878028068914
1,413,0.021335821395315965
1,842,0.02089932837883781
1,972,0.02073417113852058
2,12,0.12032037337949325
2,833,0.10901198928055313
2,792,0.09468830130743994
2,930,0.08542675784824168
2,735,0.08522709351477233
2,845,0.06822389684161419
2,832,0.0680603240047002
2,221,0.06607347830134683
2,224,0.06265086490030806
2,217,0.05678413107014252
3,316,0.062362653966219254
3,840,0.05682762841455392
3,486,0.05474592502835485
3,392,0.0542859202041722
3,389,0.04923077694882572
3,648,0.04368957310861207
3,593,0.03965433870930166
3,875,0.03301659955026914
3,868,0.02777261971407479
3,832,0.02693912477025299
4,1009,0.10230451667388574
4,1010,0.10230451667388574
4,338,0.05828872027944046
4,868,0.05178515728830954
4,875,0.04827046415150947
4,821,0.04445263542069473
4,153,0.039651199912453146
4,840,0.034516049671332975
4,972,0.030408422124428347
4,995,0.029267046549454525
5,875,0.12281736208878787
5,338,0.10294761986064122
5,785,0.09761458397951078
5,1013,0.0894785704229249
5,868,0.0786621617530136
5,7,0.06549889063425302
5,153,0.06023056150721766
5,951,0.05747601158736098
5,845,0.05717547655164255
5,221,0.05568329364261519
6,308,0.08150425375411188
6,784,0.05492912270957119
6,785,0.05224773053606029
6,832,0.0341134412206712
6,845,0.01965966828467791
6,523,0.01819588985049274
6,840,0.01714706019077476
6,217,0.017139175571842514
6,997,0.015370322215489066
6,398,0.014713159789177924
7,486,0.11027125918132635
7,868,0.09639023952966798
7,784,0.09357474259195432
7,648,0.0861545142633417
7,360,0.08444781614058335
7,138,0.07976653326531816
7,545,0.07074977905164029
7,42,0.06683361842983958
7,497,0.06364351808392185
7,12,0.06285098433785638
8,784,0.13071809172918186
8,821,0.0775782212855618
8,7,0.06754735185834218
8,296,0.061420591654229584
8,398,0.05868699016291307
8,972,0.05666613781168446
8,842,0.05658139014642051
8,497,0.05643707949250543
8,762,0.05575366761196417
8,675,0.052843245117801196
9,868,0.15913277951147065
9,875,0.09902458872243203
9,472,0.09378105463345661
9,784,0.08109212086779843
9,7,0.07179006027225737
9,338,0.06711819257399186
9,118,0.06536565148063898
9,792,0.05817290559298595
9,972,0.05684861605856766
9,413,0.05567490003176184
10,611,0.14057798762152776
10,262,0.10573158865923649
10,930,0.09515684656197812
10,784,0.08883428583071426
10,242,0.08591019918392358
10,995,0.07011416508645599
10,832,0.06840413017078686
10,430,0.06330502942950149
10,675,0.061973499845132264
10,564,0.06195154609936361
11,611,0.06493235981157516
11,868,0.0493501128446195
11,360,0.04653394298312163
11,951,0.045052973742415854
11,296,0.04368631981489057
11,370,0.03702359731863903
11,792,0.03631896379985106
11,735,0.0344282012338356
11,225,0.0315676576048569
11,12,0.026444259784462572
12,523,0.3586637771136285
12,545,0.19882964699202238
12,242,0.10580008055100082
12,930,0.10221229230329527
12,840,0.0934367705485885
12,224,0.09002306327244025
12,217,0.08031665173916565
12,42,0.0799463512267431
12,792,0.06887958891542303
12,997,0.0681088241199079
13,338,0.09892017690716041
13,875,0.09580889877720913
13,868,0.0841609037347044
13,12,0.0727170836876706
13,153,0.06444087444243088
13,651,0.06076923015008842
13,224,0.056899335235454374
13,1013,0.05223577095409488
13,784,0.05221112112397436
13,765,0.038932190256476665
14,338,0.09160720880679757
14,792,0.08899148904511067
14,875,0.08872594116031972
14,868,0.0779390587729103
14,7,0.06548312596608305
14,785,0.06136027996857417
14,153,0.059676891260321635
14,1013,0.04837408632484405
14,316,0.04250184584649796
14,784,0.04175290121420917
15,338,0.09348155397711184
15,875,0.09054133365466119
15,868,0.07953374439091596
15,153,0.06089792063530302
15,651,0.06013670303086501
15,497,0.055831832172807724
15,42,0.055320173245534565
15,1013,0.04936385270079119
15,296,0.04906450343227135
15,221,0.04316715780105214
16,338,0.11015781784285117
16,788,0.09297755704766095
16,868,0.09212815116495067
16,875,0.08587535214760311
16,153,0.07054128886909498
16,1013,0.06884429686732896
16,354,0.057006636765569066
16,651,0.04971375277454904
16,785,0.031658187507277474
16,648,0.03127385116536418
17,338,0.11564584361134164
17,868,0.09671794494897346
17,875,0.09015363356868723
17,153,0.074055632368604
17,1013,0.07227409679093036
17,308,0.05464641941646459
17,651,0.05219047536780433
17,296,0.04138399242284352
17,788,0.03809625109605137
17,486,0.03720793782609971
18,138,0.08011206936137402
18,868,0.07845725304905635
18,338,0.07772720377000193
18,875,0.07313230699765264
18,7,0.06591850434496042
18,785,0.06176824673598255
18,354,0.06048384990574205
18,153,0.060073665662735115
18,1013,0.04869571164393301
18,832,0.046929189154908395
19,868,0.06859913701140063
19,875,0.06394326786530447
19,338,0.057248190378211564
19,153,0.05252543852125861
19,564,0.04864187528161575
19,1013,0.04257711894196881
19,138,0.0419327202796709
19,308,0.032158822303835446
19,651,0.02476634969536485
19,12,0.021100468134002855
20,338,0.10909593356738241
20,868,0.09124006680593012
20,875,0.08504754266588323
20,153,0.06986129459462367
20,1013,0.06818066102440214
20,354,0.056457111980455096
20,651,0.04923452893570045
