id_a,id_b,cosine_distance
0,891,0.09343593163948567
0,528,0.08695061680385514
0,949,0.0779874915172285
0,174,0.0760790750663998
0,962,0.07534122232582882
0,177,0.06215469209229604
0,161,0.0596010033792808
0,646,0.05374144527821946
0,684,0.05272767405149614
0,767,0.05170559595807687
1,1001,0.10177743040573477
1,948,0.07735624983735301
1,161,0.052648133241331614
1,528,0.052619089015117644
1,946,0.05119155775436226
1,114,0.05085255530224562
1,933,0.0506712985113338
1,0,0.04669254648092959
1,684,0.04657662541858654
1,949,0.042647699898634386
2,1015,0.3010339449379935
2,462,0.1847758242152024
2,359,0.17684826001575668
2,642,0.16612122213622912
2,166,0.15243376596712507
2,317,0.15074029064931166
2,631,0.15043608631477048
2,1007,0.14301414411345087
2,100,0.13882332602560543
2,1038,0.13715645620402622
3,780,0.12446657889451401
3,1023,0.07813647249285641
3,454,0.07647409856396092
3,358,0.07618082435697
3,237,0.07038360983934579
3,905,0.06685872257632865
3,837,0.06518233047003592
3,147,0.06268561413815522
3,935,0.05489130762476751
3,36,0.05438249822303369
4,47,0.2572807805944475
4,480,0.11858139034465966
4,349,0.11512083122768058
4,175,0.11126048237270311
4,213,0.1009664133595858
4,192,0.09776988213714638
4,191,0.09765602171856783
4,352,0.08934451460664314
4,1033,0.08916792120008224
4,824,0.08594306432385475
5,27,0.27750736148889066
5,16,0.252838130774304
5,20,0.2504008563205638
5,24,0.24968021189252307
5,28,0.24724547760670557
5,26,0.24481143114209195
5,22,0.2424147786968165
5,25,0.22721244510785535
5,21,0.21670956887148307
5,13,0.1991208375531053
6,504,0.08824081285874323
6,923,0.0865389263102819
6,308,0.08150425375411188
6,1004,0.07620642826503532
6,546,0.045981147104839123
6,716,0.041879860086811584
6,912,0.04095909467745581
6,508,0.03435785620501737
6,992,0.03434819280757832
6,832,0.0341134412206712
7,486,0.11027125918132635
7,947,0.10076479491824326
7,819,0.08030542432533751
7,138,0.07976653326531816
7,497,0.06364351808392185
7,513,0.057450373176368995
7,599,0.056479243066117596
7,732,0.04463512263249617
7,914,0.043910345910257546
7,884,0.042856421313837316
8,645,0.16660508444930794
8,736,0.13169675320125518
8,1017,0.1312366392936333
8,927,0.11013575102073092
8,537,0.10405630879118112
8,337,0.10360978709705762
8,142,0.10273622120687216
8,246,0.09984299511139275
8,489,0.0959324131086879
8,453,0.09322772187088216
9,657,0.2243913932247364
9,345,0.20958711301107172
9,427,0.16478329992809032
9,868,0.15913277951147065
9,94,0.1527245379843914
9,836,0.14956388744786198
9,158,0.13397421014528615
9,349,0.11414420576549247
9,470,0.11273780732387992
9,798,0.1075118759173483
10,279,0.22197864684850227
10,791,0.1552802727964721
10,93,0.14579098395721538
10,611,0.14057798762152776
10,666,0.13945665450191214
10,802,0.13604033766426893
10,164,0.12475682220565941
10,123,0.12466193686370966
10,580,0.11374616596751144
10,608,0.11228738170201026
11,121,0.11932481281426577
11,878,0.08872514826448581
11,786,0.08566344129574802
11,113,0.08348026643751583
11,48,0.0738844142803618
11,900,0.0704313456001287
11,494,0.06669260893828746
11,284,0.06591453665325231
11,918,0.06197216293583365
11,343,0.05675637502507478
12,945,0.15222984315811
12,645,0.12491654043776033
12,233,0.12448990445908917
12,502,0.11191621817643765
12,224,0.09002306327244025
12,453,0.08484397457437431
12,217,0.08031665173916565
12,268,0.0763221504357389
12,907,0.07030823797886182
12,997,0.0681088241199079
13,30,0.554629324298345
13,17,0.554629324298345
13,16,0.36455116883036565
13,20,0.3610370183019215
13,24,0.35999796708069626
13,28,0.35648747905830835
13,26,0.352977982761429
13,22,0.34952240251516764
13,1034,0.3330523060857885
13,27,0.3221634933837981
14,18,0.2976508219101635
14,23,0.28837842690542004
14,13,0.272060135655756
14,1034,0.27118071168743846
14,30,0.26934599093987777
14,17,0.26934599093987777
14,21,0.22874584988199323
14,29,0.22095436579537472
14,15,0.21984370921658508
14,16,0.19766163145082674
15,30,0.33249929432299036
15,17,0.33249929432299036
15,13,0.3141436639344392
15,14,0.21984370921658508
15,1034,0.21530782819104483
15,25,0.21065436098534387
15,23,0.20825821288163798
15,29,0.1978057299355953
15,16,0.17050843754709574
15,20,0.16886479361685464
16,20,0.703469793954122
16,27,0.6671355483756222
16,24,0.6472443126202889
16,26,0.6422044165432982
16,28,0.6409327675150832
16,22,0.58665566448968
16,21,0.44587759729582693
16,13,0.36455116883036565
16,30,0.3521293965590766
16,17,0.3521293965590766
17,30,0.9999999999999999
17,13,0.554629324298345
17,29,0.4449535197342439
17,1034,0.3769441992906383
17,23,0.35526483069456166
17,16,0.3521293965590766
17,20,0.3487349877330973
17,24,0.34773134130206845
17,28,0.3443404701853542
17,26,0.34095055700194193
18,27,0.34999570355575527
18,16,0.32626169084433676
18,20,0.323116637992167
18,24,0.32218672022671735
18,25,0.3194651117410007
18,28,0.3190449452008745
18,26,0.31590405773779084
18,30,0.31480923369404157
18,17,0.31480923369404157
18,14,0.2976508219101635
19,17,0.29277999940500476
19,30,0.29277999940500476
19,13,0.2647890298515718
19,23,0.2546144685979346
19,1034,0.2413282914469769
19,159,0.16842681719273825
19,557,0.1584583449968063
19,29,0.1584407708903139
19,18,0.155046643551938
19,16,0.15199376486603858
20,16,0.703469793954122
20,27,0.6607045863041245
20,24,0.6410050953643829
20,26,0.6360137821887146
20,28,0.6347543914289857
20,22,0.5810005014024356
20,21,0.44157948737840214
20,13,0.3610370183019215
20,30,0.3487349877330973
20,17,0.3487349877330973
21,16,0.44587759729582693
21,20,0.44157948737840214
21,24,0.44030863790211705
21,28,0.4360150075462466
21,26,0.4317225901564143
21,27,0.40712811770805923
21,22,0.3862650022538223
21,30,0.30778419865049333
21,17,0.30778419865049333
21,18,0.2818156195506215
22,24,0.6890218675363468
22,28,0.6222240775556808
22,16,0.58665566448968
22,20,0.5810005014024356
22,26,0.5724142432984528
22,27,0.5466913457413103
22,21,0.3862650022538223
22,13,0.34952240251516764
22,30,0.3376127227253942
22,17,0.3376127227253942
23,17,0.35526483069456166
23,30,0.35526483069456166
23,29,0.32863434599285185
23,13,0.310363978518331
23,14,0.28837842690542004
23,1034,0.28333855020869053
23,203,0.25487453277895267
23,19,0.2546144685979346
23,25,0.25425652852149827
23,16,0.25322428136652664
24,22,0.6890218675363468
24,28,0.682927479526692
24,16,0.6472443126202889
24,20,0.6410050953643829
24,26,0.6312107768908248
24,27,0.6054274262763752
24,21,0.44030863790211705
24,13,0.35999796708069626
24,30,0.34773134130206845
24,17,0.34773134130206845
25,18,0.3194651117410007
25,22,0.308085125880313
25,1034,0.2886141133343687
25,16,0.26657594776990734
25,20,0.26400624538565287
25,24,0.2632464451497401
25,21,0.2632343685070708
25,27,0.26251715392100466
25,13,0.26186254039242696
25,28,0.2606794209519973
26,16,0.6422044165432982
26,20,0.6360137821887146
26,24,0.6312107768908248
26,28,0.6250555813772327
26,27,0.6010875303041574
26,22,0.5724142432984528
26,21,0.4317225901564143
26,13,0.352977982761429
26,30,0.34095055700194193
26,17,0.34095055700194193
27,16,0.6671355483756222
27,20,0.6607045863041245
27,24,0.6054274262763752
27,26,0.6010875303041574
27,28,0.5995236548034328
27,22,0.5466913457413103
27,21,0.40712811770805923
27,18,0.34999570355575527
27,13,0.3221634933837981
27,30,0.3127890915450665
28,24,0.682927479526692
28,16,0.6409327675150832
28,20,0.6347543914289857
28,26,0.6250555813772327
28,22,0.6222240775556808
28,27,0.5995236548034328
28,21,0.4360150075462466
28,13,0.35648747905830835
28,30,0.3443404701853542
28,17,0.3443404701853542
29,30,0.4449535197342439
29,17,0.4449535197342439
29,23,0.32863434599285185
29,1034,0.2485395230885529
29,13,0.23686574168729135
29,21,0.2307209736047822
29,14,0.22095436579537472
29,16,0.20639093671019418
29,20,0.20440139756913675
29,24,0.2038131378866165
30,17,0.9999999999999999
30,13,0.554629324298345
30,29,0.4449535197342439
30,1034,0.3769441992906383
30,23,0.35526483069456166
30,16,0.3521293965590766
30,20,0.3487349877330973
30,24,0.34773134130206845
30,28,0.3443404701853542
30,26,0.34095055700194193
31,45,0.12664117835970093
31,986,0.12631205577720012
31,322,0.10655836285049888
31,198,0.10562123216891925
31,642,0.10493316832320243
31,462,0.09603264987225052
31,1007,0.09441224546749544
31,581,0.07740277558728102
31,1038,0.07550037254059334
31,398,0.07243394918951859
32,37,0.14290117134251204
32,569,0.1350488091073837
32,928,0.12166728172236038
32,566,0.1123145342088417
32,911,0.09481180144646419
32,712,0.08849006440470274
32,618,0.08671368163220788
32,806,0.07473706827032298
32,974,0.07381281653799801
32,366,0.06661641729344016
33,884,0.09074217385610663
33,599,0.06159763161454736
33,506,0.05774924493362371
33,200,0.0544243975919132
33,91,0.05223577174702791
33,914,0.04788968769076879
33,1046,0.04613927105260492
33,1019,0.044278507471770014
33,483,0.04244054978535138
33,1032,0.04065533390888049
34,942,0.07681417579384862
34,546,0.06635167814228901
34,547,0.06469623867705243
34,984,0.06293976892078876
34,70,0.033860565819010674
34,703,0.03156713116738961
34,1045,0.030912712792662896
34,628,0.027536156072141504
34,832,0.02502277015170023
34,633,0.024230046168666
35,234,0.07415796455364033
35,465,0.060019802742075426
35,51,0.06001924081092449
35,686,0.05568485015479002
35,828,0.053994091429139794
35,530,0.05308421971444118
35,839,0.04421003506236948
35,450,0.041669617391564745
35,660,0.018794095548210973
35,860,0.015174117664513055
36,648,0.13274527713570444
36,49,0.10161734742675416
36,1018,0.09240003625107455
36,905,0.06883455286558701
36,386,0.06760123096288828
36,335,0.06758467375542779
36,512,0.06596046830785976
36,193,0.06117177374108508
36,593,0.060439827868387266
36,1023,0.05606345057766459
37,614,0.25808632956043936
37,468,0.20743733281350338
37,1035,0.1788565622170361
37,887,0.14451066460254217
37,32,0.14290117134251204
37,110,0.1386263187566148
37,167,0.12174517870985133
37,1020,0.10701249896538001
37,1028,0.09994980399109793
37,1037,0.09781937389609413
38,818,0.17577802832843167
38,961,0.12527140102041567
38,59,0.12149916268481152
38,1025,0.11728061675773097
38,457,0.10968425332500151
38,529,0.10187395208058805
38,281,0.09314127887815887
38,763,0.08873144445161474
38,1000,0.0853373505362199
38,177,0.08514460209784984
39,309,0.1700565733845203
39,196,0.16985595142668114
39,161,0.1429085580352165
39,926,0.1373088130735881
39,999,0.128219430253134
39,413,0.11791123133589801
39,568,0.106656058231132
39,347,0.10199056513669053
39,734,0.09958740966265053
39,925,0.09955667232377174
40,927,0.07724911297087358
40,292,0.07404735562921383
40,289,0.06278472699118742
40,797,0.06150270719674945
40,838,0.05854473527028735
40,502,0.05405877890305902
40,171,0.05255828150640998
40,588,0.04632523049286524
40,895,0.04545990455364144
40,446,0.0443106807801417
41,943,0.2612242749868082
41,137,0.23912515142936253
41,206,0.23117986577648875
41,157,0.19246098299166656
41,293,0.17310459170778258
41,75,0.14695160108889171
41,48,0.13339884998241958
41,786,0.1237045633648204
41,518,0.11520786150701903
41,548,0.11249644525323624
42,642,0.17948563005676352
42,1038,0.16909918811813632
42,924,0.15753979438230223
42,1007,0.14849112698350858
42,488,0.13302561278772823
42,910,0.12939163657043248
42,845,0.12311749045449019
42,605,0.1101204046854371
42,1008,0.1037508249396318
42,398,0.10046840483287695
43,357,0.39619518076415716
43,654,0.24453465122907142
43,470,0.21537161850001932
43,681,0.19765226034130093
43,775,0.19432293064691597
43,213,0.17654418158576354
43,158,0.14711209271496906
43,299,0.14534330968749182
43,894,0.13872003544309577
43,774,0.12670778844986713
44,892,0.1156969711039369
44,613,0.08420522604189665
44,1028,0.07731097403874265
44,915,0.06831954393980387
44,831,0.06755471980189634
44,1020,0.06453805880561246
44,540,0.0602667237877742
44,599,0.05341094200940549
44,566,0.05060000890941483
44,814,0.05040780908680542
45,317,0.1527649887671206
45,632,0.15054489067890942
45,1002,0.14383523204534465
45,359,0.14231926473849263
45,462,0.14166092720493384
45,440,0.13291518588725323
45,31,0.12664117835970093
45,631,0.12653660498607008
45,304,0.1242836269598166
45,185,0.11218484812316598
46,892,0.12497683978131377
46,540,0.11948102438680476
46,66,0.1085182385317201
46,599,0.09724713029044682
46,623,0.08536162927686203
46,333,0.07910556050742273
46,914,0.07840412769093372
46,339,0.07149516144398167
46,551,0.07078998487977585
46,65,0.0580857365974652
47,4,0.2572807805944475
47,213,0.2393434037329627
47,175,0.22603933140719898
47,824,0.1472753453343343
47,563,0.12581491304719522
47,357,0.12198781993507557
47,775,0.11746244249706977
47,349,0.11657097214242038
47,43,0.11423661831582164
47,427,0.10429583343428037
48,293,0.4586610000682402
48,112,0.248260796086896
48,518,0.1654197250017304
48,126,0.14250661752831817
48,41,0.13339884998241958
48,786,0.12519989844131085
48,519,0.12366826194519442
48,567,0.11611589202897582
48,922,0.11535890727795162
48,900,0.10833937130183699
49,386,0.1441073789316463
49,648,0.11890705178238944
49,36,0.10161734742675416
49,780,0.06853854134850884
49,639,0.051892433686173245
49,432,0.04915362811491751
49,522,0.03757177029319156
49,332,0.03445577232135268
49,609,0.03168101550963032
49,109,0.030921572234210437
50,788,0.10733316106772929
50,796,0.03134857261647016
50,394,0.03129845467859549
