title,description,genre,website_url,image_url,description_length,id,k_means_cluster
The Mystery Of A Hansom Cab,A man is murdered in 19th Century Melbourne. The investigation uncovers a trail of secrets and scandal spreading from opium dens and brothels to the cream of society. Based on the novel by Fergus Hulme.,Drama,https://iview.abc.net.au/show/mystery-of-a-hansom-cab/video/DR1106V001S00,https://cdn.iview.abc.net.au/thumbs/i/dr/DR1106V001S00_5b18ad8355479_1280.jpg,35,647,5
Mystery Road (Simplified Chinese Subtitles),"When Indigenous Detective Jay Swan is assigned to investigate the disappearance of two young men from an outback cattle station, he clashes with local cop Emma James. Together their investigation will uncover a past injustice that threatens the whole community.",Drama,https://iview.abc.net.au/show/mystery-road-simplified-chinese-subtitles,https://cdn.iview.abc.net.au/thumbs/i/iv/IV1831W_5b48235f585c0_1280.jpg,40,648,5
Mystery Road,"Detective Jay Swan arrives at an outback cattle station to investigate the disappearance of two young farm hands. As the mystery unravels, Jays investigation uncovers a past injustice that threatens the fabric of the whole community.",Drama,https://iview.abc.net.au/show/mystery-road,https://cdn.iview.abc.net.au/thumbs/i/dr/DR1631W_60ee6bd91bc9d_1280.jpg,36,649,5
Mythbusters Junior,"Every episode will feature the science, exploration, fun and excitement that MythBusters is known for and follow the exploits of our intrepid group of Juniors as they set out to prove or bust a myth.",Family,https://iview.abc.net.au/show/mythbusters-junior,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1999A_5d367e8b2a274.jpg,35,650,9
NAIDOC Week Musical Celebration,"ABC Melbourne presents a special performance to celebrate NAIDOC Week (2020), featuring Indigenous musicians Emma Donavan and The Putbacks, Kutcha Edwards, Kee'ahn and Bumpy.",Arts and culture,https://iview.abc.net.au/show/naidoc-week-musical-celebration/video/IV2017H001S00,https://cdn.iview.abc.net.au/thumbs/i/iv/IV2017H001S00_60da6f895f74e_1280.jpg,24,651,13
The Nannas And The Poppas (Hindi),There is always plenty of singing and dancing when The Nannas and The Poppas open the doors of their recycling barn. Enjoy a collection of their songs with Hindi translation.,Kids,https://iview.abc.net.au/show/nannas-and-the-poppas-hindi,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2495A_5ffcdf93820b6_1280.jpg,30,652,9
The Nannas And The Poppas,"There is always plenty of singing and dancing when The Nannas and The Poppas open the doors of their recycling barn. With so much fun to be had, Doodle the Cavoodle can't resist joining in sometimes!",Kids,https://iview.abc.net.au/show/nannas-and-the-poppas,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2494A_5fecf03e968d7_1280.jpg,36,653,9
National Press Club Address,The National Press Club hosts public debates and discussions that shape Australia now and into the future. Home to national conversations featuring decision-makers and influencers; driving the national debate forward.,"News and current affairs, Panel and discussion",https://iview.abc.net.au/show/national-press-club-address,https://cdn.iview.abc.net.au/thumbs/i/nc/NC2211C_61e77adf02e1a_1920.jpg,30,654,4
National Treasure,"Paul Finchley is one half of a much loved British comedy double act, a cherished household name, but Paul's life is shaken to its foundations when he's arrested after an accusation of rape.",Drama,https://iview.abc.net.au/show/national-treasure,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW0910A_610b4fbe70236_3600.jpg,33,655,0
New Dads,Jane Caro meets five Australian men navigating their first year as new dads to see how they are managing the life changing transition into fatherhood.,Documentary,https://iview.abc.net.au/show/new-dads/video/RN1811H026S00,https://cdn.iview.abc.net.au/thumbs/i/rn/RN1811H026S00_5d65d0d4bc496_1280.jpg,25,656,13
New Normal,"The coronavirus crisis could change our lives forever. Jeremy Fernandez speaks with everyday Australians to see how they are dealing with lockdown, their fears and concerns. In 6 months we'll revisit to see what has changed.",News and current affairs,https://iview.abc.net.au/show/new-normal,https://cdn.iview.abc.net.au/thumbs/i/ns/NS2050H_5fb729da1379d_1280.jpg,36,657,4
Newcastle,"Combining sublime surfing beaches with the raw energy, music and rebellion of teen culture, Newcastle tells the story of Jesse who lives in the shadow of his older brother Victor's failure to become surfing's next big thing.","Drama, Movies",https://iview.abc.net.au/show/newcastle/video/ZW2907A001S00,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2907A001S00_60a1e98bb7339_1280.jpg,37,658,3
